threadID,sectionID,event,val,ts,ticket
id_140640893953856,s3,WAIT,2,1571314605770103849,60
id_140640893953856,s2,WAIT,0,1571314605770104130,61
id_140640893953856,s2,SIGNAL,1,1571314605770118427,62
id_140640893953856,s3,SIGNAL,3,1571314605770118774,63
id_140640893953856,s2,WAIT,0,1571314605770129745,64
id_140640893953856,s3,WAIT,2,1571314605770131553,65
id_140640893953856,s3,SIGNAL,3,1571314605770135992,66
id_140640893953856,s2,SIGNAL,1,1571314605770142420,67
id_140640893953856,s3,WAIT,2,1571314605770147238,68
id_140640893953856,s2,WAIT,0,1571314605770148409,69
id_140640893953856,s2,SIGNAL,1,1571314605770159386,70
id_140640893953856,s3,SIGNAL,3,1571314605770160662,71
id_140640893953856,s2,WAIT,0,1571314605770170190,72
id_140640893953856,s3,WAIT,2,1571314605770171872,73
id_140640893953856,s3,SIGNAL,3,1571314605770176439,74
id_140640893953856,s2,SIGNAL,1,1571314605770184299,75
id_140640893953856,s3,WAIT,2,1571314605770186755,76
id_140640893953856,s2,WAIT,0,1571314605770187062,77
id_140640893953856,s2,SIGNAL,1,1571314605770199247,78
id_140640893953856,s3,SIGNAL,3,1571314605770201220,79
id_140640893953856,s3,WAIT,2,1571314605770209175,80
id_140640893953856,s2,SIGNAL,2,1571314605770219328,81
id_140640893953856,NO_INFO,WAIT,0,1571314605770265642,82
id_140640893953856,r_1,SIGNAL,1,1571314605770278284,83
id_140640893953856,r_1,WAIT,0,1571314605770317579,84
id_140640893953856,NO_INFO,SIGNAL,1,1571314605770331751,85
id_140640893953856,NO_INFO,WAIT,0,1571314605770339280,86
id_140640893953856,r_1,SIGNAL,1,1571314605770347926,87
id_140640893953856,r_1,WAIT,0,1571314605770350813,88
id_140640893953856,NO_INFO,SIGNAL,1,1571314605770359278,89
id_140640893953856,NO_INFO,WAIT,0,1571314605770362942,90
id_140640893953856,r_1,SIGNAL,1,1571314605770371181,91
id_140640893953856,r_1,WAIT,0,1571314605770373824,92
id_140640893953856,NO_INFO,SIGNAL,1,1571314605770382769,93
id_140640893953856,NO_INFO,WAIT,0,1571314605770386430,94
id_140640893953856,r_1,SIGNAL,1,1571314605770394010,95
id_140640893953856,r_1,WAIT,0,1571314605770396708,96
id_140640893953856,NO_INFO,SIGNAL,1,1571314605770404688,97
id_140640893953856,NO_INFO,WAIT,0,1571314605770407486,98
id_140640893953856,r_1,SIGNAL,1,1571314605770415037,99
id_140640893953856,r_1,WAIT,0,1571314605770417718,100
id_140640893953856,NO_INFO,SIGNAL,1,1571314605770425645,101
id_140640893953856,NO_INFO,WAIT,0,1571314605770428399,102
id_140640893953856,r_1,SIGNAL,1,1571314605770435979,103
id_140640893953856,r_1,WAIT,0,1571314605770438610,104
id_140640893953856,NO_INFO,SIGNAL,1,1571314605770446978,105
id_140640893953856,NO_INFO,WAIT,0,1571314605770450524,106
id_140640893953856,r_1,SIGNAL,1,1571314605770458250,107
id_140640893953856,r_1,WAIT,0,1571314605770460943,108
id_140640893953856,NO_INFO,SIGNAL,1,1571314605770468801,109
id_140640893953856,NO_INFO,WAIT,0,1571314605770471539,110
id_140640893953856,r_1,SIGNAL,1,1571314605770479016,111
id_140640893953856,r_1,WAIT,0,1571314605770488898,112
id_140640893953856,NO_INFO,SIGNAL,1,1571314605770497518,113
id_140640893953856,NO_INFO,WAIT,0,1571314605770500328,114
id_140640893953856,r_1,SIGNAL,1,1571314605770508213,115
id_140640893953856,r_1,WAIT,0,1571314605770510925,116
id_140640893953856,NO_INFO,SIGNAL,1,1571314605770518741,117
id_140640893953856,NO_INFO,WAIT,0,1571314605770521556,118
id_140640893953856,r_1,SIGNAL,1,1571314605770529676,119
id_140640893953856,r_1,WAIT,0,1571314605770532368,120
id_140640893953856,NO_INFO,SIGNAL,1,1571314605770543991,121
id_140640893953856,sExt,WAIT,4,1571314605770591420,122
id_140640893953856,sExt,SIGNAL,7,1571314605770601257,123
id_140640893953856,sExt,SIGNAL,9,1571314605770606726,124
id_140640893953856,main,END_FUNC_PROC,0,1571314605770626499,125
